ticker,name,index
PETRONET.NS,Petronet LNG Ltd.,NIFTY Midcap 150
PHOENIXLTD.NS,Phoenix Mills Ltd.,NIFTY Midcap 150
POLYCAB.NS,Polycab India Ltd.,NIFTY Midcap 150
PREMIERENE.NS,Premier Energies Ltd.,NIFTY Midcap 150
PRESTIGE.NS,Prestige Estates Projects Ltd.,NIFTY Midcap 150
RADICO.NS,Radico Khaitan Ltd,NIFTY Midcap 150
RVNL.NS,Rail Vikas Nigam Ltd.,NIFTY Midcap 150
SBICARD.NS,SBI Cards and Payment Services Ltd.,NIFTY Midcap 150
SJVN.NS,SJVN Ltd.,NIFTY Midcap 150
SRF.NS,SRF Ltd.,NIFTY Midcap 150
SCHAEFFLER.NS,Schaeffler India Ltd.,NIFTY Midcap 150
SAIL.NS,Steel Authority of India Ltd.,NIFTY Midcap 150
SUNDARMFIN.NS,Sundaram Finance Ltd.,NIFTY Midcap 150
SUPREMEIND.NS,Supreme Industries Ltd.,NIFTY Midcap 150
SUZLON.NS,Suzlon Energy Ltd.,NIFTY Midcap 150
SWIGGY.NS,Swiggy Ltd.,NIFTY Midcap 150
TATACOMM.NS,Tata Communications Ltd.,NIFTY Midcap 150
TATAELXSI.NS,Tata Elxsi Ltd.,NIFTY Midcap 150
TATAINVEST.NS,Tata Investment Corporation Ltd.,NIFTY Midcap 150
NIACL.NS,The New India Assurance Company Ltd.,NIFTY Midcap 150
THERMAX.NS,Thermax Ltd.,NIFTY Midcap 150
TORNTPOWER.NS,Torrent Power Ltd.,NIFTY Midcap 150
TIINDIA.NS,Tube Investments of India Ltd.,NIFTY Midcap 150
UNOMINDA.NS,UNO Minda Ltd.,NIFTY Midcap 150
UPL.NS,UPL Ltd.,NIFTY Midcap 150
UBL.NS,United Breweries Ltd.,NIFTY Midcap 150
VMM.NS,Vishal Mega Mart Ltd.,NIFTY Midcap 150
IDEA.NS,Vodafone Idea Ltd.,NIFTY Midcap 150
VOLTAS.NS,Voltas Ltd.,NIFTY Midcap 150
WAAREEENER.NS,Waaree Energies Ltd.,NIFTY Midcap 150
YESBANK.NS,Yes Bank Ltd.,NIFTY Midcap 150
